,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
54,Abadía Retuerta Selección Especial, 2019,32.5,4.6,Vino tinto,Abadía Retuerta,14.5,Tempranillo,93.0,94.0,94.0
55,Hacienda Solano Viñas Viejas, 2020,26.9,4.4,Vino tinto,Ribera del Duero,14.0,Tempranillo,94.0,93.0,
56,Marqués de Riscal Reserva, 2019,16.9,4.4,Vino tinto,Rioja,14.0,Tempranillo,,94.0,93.0
57,Laya, 2022,6.45,4.2,Vino tinto,Almansa,14.5,Garnacha tintorera,90.0,90.0,92.0
58,La Celestina Vendimia Seleccionada, 2019,14.5,4.5,Vino tinto,Ribera del Duero,15.0,Tempranillo,,90.0,
59,José Pariente Sauvignon Blanc, 2022,10.5,4.5,Vino blanco,Rueda,13.0,Sauvignon blanc,,91.0,
60,Recaredo Brut Nature Serral del Vell, 2017,35.95,4.4,Cava,Corpinnat,12.5,Xarel·lo,95.0,94.0,
61,Dominio de Atauta, 2020,28.85,4.4,Vino tinto,Ribera del Duero,15.0,Tempranillo,94.0,94.0,94.0
62,Malleolus, 2021,34.9,4.6,Vino tinto,Ribera del Duero,14.5,Tempranillo,93.0,,
63,Remelluri Reserva, 2015,26.6,4.5,Vino tinto,Rioja,14.0,Tempranillo,,93.0,93.0
64,La Atalaya del Camino, 2020,12.9,4.4,Vino tinto,Almansa,15.0,Garnacha tintorera,92.0,,
65,Alta Alella Mirgin Laietà, 2019,19.95,4.4,Cava,DO Cava,12.0,Pansa blanca,,,
66,Habla del Silencio, 2021,11.5,4.4,Vino tinto,Extremadura,14.0,Syrah,,90.0,
67,Borsao Tres Picos, 2020,14.5,4.4,Vino tinto,Campo de Borja,15.5,Garnacha,90.0,93.0,92.0
68,Martín Códax Albariño, 2022,14.5,4.6,Vino blanco,Rías Baixas,12.5,Albariño,,90.0,
69,Viña Cubillo, 2016,15.5,4.3,Vino tinto,Rioja,13.5,Tempranillo,93.0,,94.0
70,Viñas del Vero Gewürztraminer, 2022,11.5,4.4,Vino blanco,Somontano,13.0,Gewürztraminer,,90.0,91.0
71,Gramona III Lustros, 2015,34.9,4.7,Cava,Corpinnat,12.0,Xarel·lo,94.0,95.0,
