,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
66,Habla del Silencio, 2021,"11,50 €","4,4",Vino tinto,Extremadura,"14,0%",Syrah,NA,90 PN,NA
67,Borsao Tres Picos, 2020,"14,50 €","4,4",Vino tinto,Campo de Borja,"15,5%",Garnacha,90 PK,93 PN,92 SK
68,Martín Códax Albariño, 2022,"14,50 €","4,6",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,90 PN,NA
69,Viña Cubillo, 2016,"15,50 €","4,3",Vino tinto,Rioja,"13,5%",Tempranillo,93 PK,NA,94 SK
70,Viñas del Vero Gewürztraminer, 2022,"11,50 €","4,4",Vino blanco,Somontano,"13,0%",Gewürztraminer,NA,90 PN,91 SK
71,Gramona III Lustros, 2015,"34,90 €","4,7",Cava,Corpinnat,"12,0%",Xarel·lo,94 PK,95 PN,NA
72,Circe Verdejo, 2022,"9,95 €","4,6",Vino blanco,Rueda,"12,5%",Verdejo,NA,NA,NA
73,Perelada 5 Fincas Reserva, 2018,"12,80 €","4,6",Vino tinto,Empordà,"14,4%",Merlot,NA,90 PN,NA
74,Juvé & Camps Brut Rosé,,No se encontró el elemento price,"4,4",Cava,DO Cava,"12,0%",Pinot noir,NA,NA,NA
75,Carmelo Rodero 9 Meses, 2022,"14,90 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,90 PN,91 SK
76,Aalto PS, 2021,"87,95 €","4,8",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,95 PK,94 PN,96 SK
77,Condado de Haza Crianza, 2020,"11,95 €","4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,93 SK
78,Basa Blanco, 2022,"8,55 €","4,5",Vino blanco,Rueda,"13,5%",Verdejo,90 PK,NA,NA
79,Finca Villacreces, 2019,"27,90 €","4,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,93+ PK,NA,NA
80,Casar de Burbia Godello, 2022,"12,50 €","4,4",Vino blanco,Bierzo,"13,5%",Godello,NA,NA,90 SK
81,Cutio Macabeo, 2021,"8,95 €","5,0",Vino blanco,Cariñena,"14,0%",Macabeo,92 PK,NA,92 SK
82,Cava Rimarts Martinez Brut Nature Rosé,,"13,95 €","4,6",Cava,DO Cava,"11,5%",Pinot noir,NA,NA,NA
83,Sierra Cantabria Crianza, 2019,"11,95 €","4,2",Vino tinto,Rioja,"14,5%",Tempranillo,91 PK,92 PN,NA
84,Familia Oliveda Brut Jove,,"6,40 €","4,6",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
85,Casal de Armán Blanco, 2022,"13,50 €","4,0",Vino blanco,Ribeiro,"13,5%",Treixadura,NA,NA,NA
86,Cune Reserva, 2018,"11,25 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,90+ PK,NA,93 SK
87,Prima, 2020,"11,95 €","4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,92+ PK,NA,NA
88,El Puntido, 2019,"39,95 €","4,7",Vino tinto,Rioja,"14,5%",Tempranillo,93 PK,94 PN,92 SK
89,Domaines Lupier La Dama, 2018,"35,95 €","4,5",Vino tinto,Navarra,"14,0%",Garnacha,97 PK,94 PN,NA
90,Bardos Viñedos de Altura, 2021,"13,50 €","5,0",Vino Tinto,Ribera del Duero,"15,0%",Tempranillo,NA,NA,NA
