Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
45,Almirez, 2020,"21,50 €","4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,93 PK,94 PN,91 SK
46,Carmelo Rodero Crianza, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,91 PN,NA
47,Camins del Priorat, 2022,No se encontró el elemento price,"4,5",Vino tinto,Priorat,"14,5%",Garnacha,91 PK,92 PN,92 SK
48,Juvé & Camps Reserva de la Familia, 2018,"18,95 €","4,7",Cava,DO Cava,"12,0%",Macabeo,NA,92 PN,91 SK
49,Malleolus, 2021,"34,90 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,NA,NA
50,Alaya Tierra, 2021,No se encontró el elemento price,"4,9",Vino tinto,Almansa,"16,0%",Garnacha tintorera,92+ PK,92 PN,91 SK
51,Recaredo Brut Nature Serral del Vell, 2018,"35,95 €","4,4",Cava,Corpinnat,"12,5%",Xarel·lo,95 PK,94 PN,NA
52,La Nieta, 2021,"120,00 €","4,6",Vino tinto,Rioja,"14,5%",Tempranillo,97 PK,95 PN,NA
53,Viña Zorzal Garnacha Blanca, 2021,"7,50 €","3,8",Vino blanco,Navarra,"14,0%",Garnacha blanca,93 PK,90 PN,NA
54,Vizcarra, 2020,No se encontró el elemento price,"3,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,92 PK,91 PN,NA
55,K-Naia, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rueda,"13,5%",Verdejo,NA,90 PN,NA
56,Carmelo Rodero 9 Meses, 2022,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,90 PN,91 SK
57,La Celestina, 2019,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91 PK,91 PN,NA
58,La Atalaya del Camino, 2021,No se encontró el elemento price,"4,4",Vino tinto,Almansa,"15,0%",Garnacha tintorera,92 PK,NA,NA
