Encabezados,name_w,year_w,price,user_score,type_w,region,alcohol_content,wine_grape,pk_score,pn_score,sk_score
196,Viña Costeira Colección 68, 2022,No se encontró el elemento price,"4,0",Vino blanco,Ribeiro,"12,5%",Treixadura,NA,NA,NA
197,Bertha Lounge Rosé, 2022,No se encontró el elemento price,"5,0",Cava,DO Cava,"12,0%",Garnacha,NA,NA,NA
198,Valtravieso Crianza, 2020,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,90 PN,NA
199,Mas Candí Brut Nature, 2021,"12,00 €","3,8",Cava,Corpinnat,"12,0%",Xarel·lo,91 PK,NA,NA
200,El Bosque, 2021,"102,00 €","4,3",Vino tinto,Rioja,"14,5%",Tempranillo,97+ PK,97 PN,95 SK
201,Perelada Finca Malaveïna, 2021,No se encontró el elemento price,"4,6",Vino tinto,Empordà,"14,5%",Merlot,90 PK,93 PN,NA
202,Marqués de Cáceres Gaudium, 2019,No se encontró el elemento price,"4,7",Vino tinto,Rioja,"14,0%",Tempranillo,NA,94 PN,95 SK
203,Bosque de Matasnos Edición Limitada, 2019,No se encontró el elemento price,"4,0",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,NA,96 PN,NA
204,La Petite Agnès, 2021,No se encontró el elemento price,"4,5",Vino tinto,Priorat,"14,5%",Garnacha,NA,NA,NA
205,Guímaro Camiño Real, 2021,No se encontró el elemento price,"4,4",Vino tinto,Ribeira Sacra,"13,5%",Garnacha tintorera,94+ PK,94 PN,NA
206,La Maldita Tinto, 2022,No se encontró el elemento price,"4,1",Vino tinto,Rioja,"14,0%",Garnacha,91 PK,NA,NA
207,Mauro VS, 2020,"65,80 €","4,9",Vino tinto,Castilla y León,"14,5%",Tempranillo,95 PK,94 PN,NA
208,Evodia, 2021,No se encontró el elemento price,"4,3",Vino tinto,Calatayud,"14,5%",Garnacha,91+ PK,NA,NA
209,Cygnus Deneb Brut Nature Reserva - sin sulfitos añadidos,,No se encontró el elemento price,"4,7",Cava,DO Cava,"11,5%",Xarel·lo,NA,NA,NA
210,Beronia Reserva, 2017,"14,90 €","4,4",Vino tinto,Rioja,"12,5%",Tempranillo,NA,NA,NA
211,Jesús Yllera, 2016,No se encontró el elemento price,"4,0",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,93 PK,NA,NA
212,Albariño Mar de Frades, 2022,"18,50 €","4,6",Vino blanco,Rías Baixas,"12,5%",Albariño,NA,NA,NA
213,Casa Castillo La Tendida, 2021,No se encontró el elemento price,"4,0",Vino tinto,Jumilla,"14,5%",Monastrell,93+ PK,93 PN,NA
214,Avancia Godello, 2022,"26,95 €","4,8",Vino blanco,Valdeorras,"13,5%",Godello,92 PK,93 PN,NA
215,Mas Fontallada Brut Nature,,"5,80 €","4,6",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
216,La del Vivo, 2022,No se encontró el elemento price,"4,6",Vino blanco,Bierzo,"13,5%",Godello,95+ PK,91 PN,NA
217,Albariño Paco & Lola, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,90 PN,NA
218,Leopardi Gran Reserva Vintage, 2017,No se encontró el elemento price,"4,5",Cava,Corpinnat,"11,5%",Macabeo,92 PK,92 PN,NA
219,Fariña Lágrima, 2021,No se encontró el elemento price,"4,6",Vino tinto,Toro,"14,0%",Tinta de Toro,NA,91 PN,NA
220,Finca Cucó Negre, 2022,No se encontró el elemento price,"4,8",Vino tinto,Montsant,"13,5%",Garnacha,NA,NA,NA
221,Ferrer Bobet Vinyes Velles, 2019,"44,95 €","4,7",Vino tinto,Priorat,"14,5%",Cariñena,93 PK,95 PN,94 SK
222,Ramón Bilbao Verdejo, 2023,No se encontró el elemento price,"4,3",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,NA
223,Parxet Brut,,No se encontró el elemento price,"4,3",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
224,Villa de Corullón, 2021,"53,75 €","4,5",Vino tinto,Bierzo,"14,0%",Mencía,95-97 PK,94 PN,95 SK
225,Viña Barredero, 2022,No se encontró el elemento price,"4,2",Vino blanco,Condado de Huelva,"12,0%",Zalema,NA,NA,NA
226,Les Brugueres Blanc, 2022,No se encontró el elemento price,"4,6",Vino blanco,Priorat,"13,5%",Garnacha blanca,91 PK,90 PN,93 SK
227,Honeymoon, 2022,No se encontró el elemento price,"4,6",Vino blanco,Penedès,"11,5%",Parellada,NA,NA,NA
228,Protos 27, 2020,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,90 PK,94 PN,93 SK
229,Coto de Imaz Reserva, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,NA,90 PN,92 SK
230,Losada, 2020,No se encontró el elemento price,"4,1",Vino tinto,Bierzo,"14,0%",Mencía,91 PK,91 PN,93 SK
231,Garum, 2021,No se encontró el elemento price,"4,3",Vino tinto,Cádiz,"14,5%",Merlot,NA,NA,NA
232,José Pariente Verdejo Fermentado en Barrica, 2022,No se encontró el elemento price,"4,4",Vino blanco,Rueda,"13,5%",Verdejo,91 PK,91 PN,NA
233,12 Volts, 2022,No se encontró el elemento price,"4,5",Vino tinto,Mallorca,"12,0%",Callet,93 PK,NA,NA
234,Contino Reserva, 2019,No se encontró el elemento price,"4,9",Vino tinto,Rioja,"14,0%",Tempranillo,93 PK,92 PN,96 SK
235,Sking Or Queen, 2021,No se encontró el elemento price,"0,0",Vino naranja,Cebreros,"13,0%",Albillo,91 PK,NA,NA
236,Ilercavònia, 2022,No se encontró el elemento price,"4,4",Vino blanco,Terra Alta,"13,5%",Garnacha blanca,NA,NA,92 SK
237,Finca Valpiedra Reserva, 2015,No se encontró el elemento price,"5,0",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,93 PN,92 SK
238,Melior de Matarromera Roble, 2022,No se encontró el elemento price,"4,3",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
239,Lanzaga, 2020,No se encontró el elemento price,"4,2",Vino tinto,Rioja,"14,0%",Tempranillo,94 PK,93 PN,95 SK
240,Abracadabra Toro, 2021,No se encontró el elemento price,"4,7",Vino tinto,Toro,"15,0%",Tinta de Toro,NA,NA,NA
241,Habla La Tierra, 2021,"7,95 €","3,9",Vino tinto,Extremadura,"13,5%",Tempranillo,NA,NA,NA
242,Muriel Fincas de la Villa Crianza, 2020,No se encontró el elemento price,"4,1",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
243,Predicat, 2018,No se encontró el elemento price,"4,6",Vino tinto,Priorat,"14,0%",Garnacha,NA,NA,92 SK
244,Terroir Històric Negre, 2021,No se encontró el elemento price,"4,7",Vino tinto,Priorat,"13,5%",Garnacha,93 PK,NA,93 SK
245,Granbazán Etiqueta Verde, 2022,No se encontró el elemento price,"0,0",Vino blanco,Rías Baixas,"13,0%",Albariño,NA,NA,NA
246,Naia, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rueda,"13,5%",Verdejo,90 PK,91 PN,NA
247,Viña Bosconia Reserva, 2012,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,93 PK,NA,95 SK
248,Arzuaga Reserva, 2019,"41,90 €","4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,NA,NA
249,Trus Roble, 2022,No se encontró el elemento price,"4,8",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,90 PN,NA
250,Petit Almodí Negre, 2022,No se encontró el elemento price,"4,6",Vino tinto,Terra Alta,"14,0%",Garnacha,NA,NA,91 SK
251,Luna Beberide Mencía, 2023,No se encontró el elemento price,"4,1",Vino tinto,Bierzo,"12,9%",Mencía,91 PK,91 PN,NA
252,Alta Alella Mirgin Reserva, 2019,No se encontró el elemento price,"4,3",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
253,Pere Ventura Tresor Brut Rosé,,"18,00 €","4,0",Cava,DO Cava,"11,5%",Trepat,NA,NA,NA
254,El Paraguas Atlántico, 2022,No se encontró el elemento price,"4,5",Vino blanco,Ribeiro,"13,0%",Treixadura,93+ PK,NA,NA
255,Alvear Pedro Ximénez 1927,,No se encontró el elemento price,"4,5",Vino dulce natural,Montilla-Moriles,"16,0%",Pedro ximénez,NA,NA,NA
256,Guímaro, 2022,No se encontró el elemento price,"3,9",Vino tinto,Ribeira Sacra,"13,0%",Mencía,92 PK,NA,NA
257,Sexto Elemento, 2021,No se encontró el elemento price,"4,9",Vino tinto,Valencia,"15,5%",Bobal,NA,NA,NA
258,Aria Brut Nature,,No se encontró el elemento price,"4,5",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
259,La Viña de Ayer Garnacha, 2017,No se encontró el elemento price,"4,0",Vino tinto,Cebreros,"14,0%",Garnacha,92 PK,NA,NA
260,Artadi Viñas de Gain, 2020,"26,95 €","4,7",Vino tinto,España,"14,5%",Tempranillo,92 PK,94 PN,94 SK
261,Finca San Martín, 2019,"9,60 €","4,1",Vino tinto,Rioja,"14,5%",Tempranillo,91+ PK,91 PN,NA
262,Peique Ramón Valle, 2021,No se encontró el elemento price,"4,0",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,90 PN,NA
263,Viña Alberdi, 2019,"16,70 €","4,3",Vino tinto,Rioja,"14,5%",Tempranillo,92 PK,92 PN,NA
264,Hacienda Monasterio, 2021,"40,50 €","4,7",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94+ PK,NA,NA
265,PradoRey Adaro, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,93 SK
266,Muga Rosado, 2022,No se encontró el elemento price,"4,6",Vino rosado,Rioja,"13,5%",Garnacha,90 PK,91 PN,91 SK
267,Com Tu, 2019,"36,55 €","4,1",Vino tinto,Montsant,"14,5%",Garnacha,94 PK,NA,NA
268,Do Ferreiro, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rías Baixas,"12,5%",Albariño,94 PK,92 PN,NA
269,Vivanco Crianza, 2020,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,90 PK,NA,NA
270,Pago de los Capellanes El Nogal, 2019,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,90 PK,93 PN,NA
271,Grillo, 2014,No se encontró el elemento price,"4,6",Vino tinto,Somontano,"14,5%",Syrah,NA,NA,NA
272,Furvus, 2021,No se encontró el elemento price,"4,7",Vino tinto,Montsant,"15,0%",Garnacha peluda,90 PK,92 PN,NA
273,Ultreia de Valtuille, 2021,No se encontró el elemento price,"4,8",Vino tinto,Bierzo,"13,5%",Mencía,97 PK,NA,NA
274,Tajinaste Blanco Afrutado, 2022,No se encontró el elemento price,"4,7",Vino blanco,Islas Canarias,"11,0%",Listán blanco,NA,NA,NA
275,Samsara Priorat, 2019,No se encontró el elemento price,"3,3",Vino tinto,Priorat,"14,5%",Garnacha,NA,90 PN,NA
276,Tesalia Arx, 2021,No se encontró el elemento price,"4,9",Vino tinto,Cádiz,"14,0%",Syrah,90 PK,NA,NA
277,Coma Vella, 2018,No se encontró el elemento price,"4,5",Vino tinto,Priorat,"15,0%",Cabernet sauvignon,94 PK,NA,NA
278,Tinto Figuero 4 Meses, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,NA,NA
279,Recaredo Intens Rosat Brut Nature, 2020,"31,50 €","4,7",Cava,Corpinnat,"12,0%",Monastrell,92 PK,91 PN,NA
280,Pago Florentino, 2020,No se encontró el elemento price,"4,5",Vino tinto,Pago Florentino,"14,0%",Cencibel,90 PK,NA,91 SK
281,Can Sumoi Xarel·lo, 2022,No se encontró el elemento price,"4,6",Vino blanco,Penedès,"12,5%",Xarel·lo,92 PK,NA,NA
282,Tarima Hill, 2021,No se encontró el elemento price,"4,3",Vino tinto,Alicante,"15,0%",Monastrell,92 PK,93 PN,NA
283,Luzón Sin Sulfitos, 2022,No se encontró el elemento price,"5,0",Vino tinto,Jumilla,"14,5%",Monastrell,NA,NA,NA
284,Flor de Morca, 2022,No se encontró el elemento price,"4,2",Vino Tinto,Campo de Borja,"15,5%",Garnacha,NA,NA,NA
285,Suertes del Marqués Medianías, 2020,No se encontró el elemento price,"4,0",Vino tinto,Valle de La Orotava,"13,0%",Listán negro,93 PK,92 PN,NA
286,Tunante de Azabache, 2022,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
287,Marmellans Negre,,No se encontró el elemento price,"4,2",Vino tinto,Catalunya,"14,0%",Garnacha,NA,NA,NA
288,Alta Alella Mirgin Reserva, 2019,No se encontró el elemento price,"4,3",Cava,DO Cava,"12,0%",Xarel·lo,NA,NA,NA
289,Pere Ventura Tresor Brut Rosé,,"18,00 €","4,0",Cava,DO Cava,"11,5%",Trepat,NA,NA,NA
290,El Paraguas Atlántico, 2022,No se encontró el elemento price,"4,5",Vino blanco,Ribeiro,"13,0%",Treixadura,93+ PK,NA,NA
291,Alvear Pedro Ximénez 1927,,No se encontró el elemento price,"4,5",Vino dulce natural,Montilla-Moriles,"16,0%",Pedro ximénez,NA,NA,NA
292,Guímaro, 2022,No se encontró el elemento price,"3,9",Vino tinto,Ribeira Sacra,"13,0%",Mencía,92 PK,NA,NA
293,Sexto Elemento, 2021,No se encontró el elemento price,"4,9",Vino tinto,Valencia,"15,5%",Bobal,NA,NA,NA
294,Aria Brut Nature,,No se encontró el elemento price,"4,5",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
295,La Viña de Ayer Garnacha, 2017,No se encontró el elemento price,"4,0",Vino tinto,Cebreros,"14,0%",Garnacha,92 PK,NA,NA
296,Artadi Viñas de Gain, 2020,"26,95 €","4,7",Vino tinto,España,"14,5%",Tempranillo,92 PK,94 PN,94 SK
297,Finca San Martín, 2019,"9,60 €","4,1",Vino tinto,Rioja,"14,5%",Tempranillo,91+ PK,91 PN,NA
298,Peique Ramón Valle, 2021,No se encontró el elemento price,"4,0",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,90 PN,NA
299,Viña Alberdi, 2019,"16,70 €","4,3",Vino tinto,Rioja,"14,5%",Tempranillo,92 PK,92 PN,NA
300,Hacienda Monasterio, 2021,"40,50 €","4,7",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94+ PK,NA,NA
301,PradoRey Adaro, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,NA,93 SK
302,Muga Rosado, 2022,No se encontró el elemento price,"4,6",Vino rosado,Rioja,"13,5%",Garnacha,90 PK,91 PN,91 SK
303,Com Tu, 2019,"36,55 €","4,1",Vino tinto,Montsant,"14,5%",Garnacha,94 PK,NA,NA
304,Do Ferreiro, 2022,No se encontró el elemento price,"4,3",Vino blanco,Rías Baixas,"12,5%",Albariño,94 PK,92 PN,NA
305,Vivanco Crianza, 2020,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,90 PK,NA,NA
306,Pago de los Capellanes El Nogal, 2019,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,90 PK,93 PN,NA
307,Grillo, 2014,No se encontró el elemento price,"4,6",Vino tinto,Somontano,"14,5%",Syrah,NA,NA,NA
308,Furvus, 2021,No se encontró el elemento price,"4,7",Vino tinto,Montsant,"15,0%",Garnacha peluda,90 PK,92 PN,NA
309,Ultreia de Valtuille, 2021,No se encontró el elemento price,"4,8",Vino tinto,Bierzo,"13,5%",Mencía,97 PK,NA,NA
310,Tajinaste Blanco Afrutado, 2022,No se encontró el elemento price,"4,7",Vino blanco,Islas Canarias,"11,0%",Listán blanco,NA,NA,NA
311,Samsara Priorat, 2019,No se encontró el elemento price,"3,3",Vino tinto,Priorat,"14,5%",Garnacha,NA,90 PN,NA
312,Tesalia Arx, 2021,No se encontró el elemento price,"4,9",Vino tinto,Cádiz,"14,0%",Syrah,90 PK,NA,NA
313,Coma Vella, 2018,No se encontró el elemento price,"4,5",Vino tinto,Priorat,"15,0%",Cabernet sauvignon,94 PK,NA,NA
314,Tinto Figuero 4 Meses, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,NA,NA
315,Recaredo Intens Rosat Brut Nature, 2020,"31,50 €","4,7",Cava,Corpinnat,"12,0%",Monastrell,92 PK,91 PN,NA
316,Pago Florentino, 2020,No se encontró el elemento price,"4,5",Vino tinto,Pago Florentino,"14,0%",Cencibel,90 PK,NA,91 SK
317,Can Sumoi Xarel·lo, 2022,No se encontró el elemento price,"4,6",Vino blanco,Penedès,"12,5%",Xarel·lo,92 PK,NA,NA
318,Tarima Hill, 2021,No se encontró el elemento price,"4,3",Vino tinto,Alicante,"15,0%",Monastrell,92 PK,93 PN,NA
319,Luzón Sin Sulfitos, 2022,No se encontró el elemento price,"5,0",Vino tinto,Jumilla,"14,5%",Monastrell,NA,NA,NA
320,Flor de Morca, 2022,No se encontró el elemento price,"4,2",Vino Tinto,Campo de Borja,"15,5%",Garnacha,NA,NA,NA
321,Suertes del Marqués Medianías, 2020,No se encontró el elemento price,"4,0",Vino tinto,Valle de La Orotava,"13,0%",Listán negro,93 PK,92 PN,NA
322,Tunante de Azabache, 2022,No se encontró el elemento price,"4,0",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
323,Marmellans Negre,,No se encontró el elemento price,"4,2",Vino tinto,Catalunya,"14,0%",Garnacha,NA,NA,NA
324,Frontonio Microcósmico Macabeo, 2022,No se encontró el elemento price,"3,0",Vino blanco,Valdejalón,"13,5%",Macabeo,93 PK,93 PN,90 SK
325,Agustí Torelló Mata Gran Reserva Brut Nature, 2017,"16,90 €","4,2",Cava,DO Cava,"11,5%",Macabeo,91 PK,NA,NA
326,Gramona Argent, 2019,No se encontró el elemento price,"5,0",Cava,Corpinnat,"12,0%",Chardonnay,92 PK,93 PN,NA
327,Matarromera Reserva, 2018,"39,95 €","4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,90 PK,NA,NA
328,Algueira Mencía, 2022,"11,95 €","3,9",Vino tinto,Ribeira Sacra,"13,0%",Mencía,NA,NA,NA
329,Enate Gewürztraminer, 2022,"11,75 €","4,7",Vino blanco,Somontano,"13,5%",Gewürztraminer,NA,90 PN,NA
330,Artadi Izar-Leku, 2018,"27,95 €","4,6",Cava,España,"12,5%",Hondarribi zuri,94+ PK,94 PN,93 SK
331,Viña Salceda Reserva, 2018,No se encontró el elemento price,"4,2",Vino tinto,Rioja,"13,5%",Tempranillo,91 PK,92 PN,NA
332,Godeval Cepas Vellas, 2022,No se encontró el elemento price,"0,0",Vino blanco,Valdeorras,"13,0%",Godello,90 PK,92 PN,NA
333,Palacio de Bornos Frizzante Rosado,,No se encontró el elemento price,"5,0",Vino dulce frizzante,Rueda,"5,5%",Tempranillo,NA,NA,NA
334,Finca l'Argatà, 2019,No se encontró el elemento price,"4,0",Vino tinto,Montsant,"14,5%",Garnacha,94 PK,91 PN,NA
335,Fuentespina 3 Meses Roble, 2022,No se encontró el elemento price,"4,0",Vino tinto,Ribera del Duero,"13,5%",Tempranillo,NA,NA,NA
336,Altos de Luzón, 2020,No se encontró el elemento price,"4,9",Vino tinto,Jumilla,"14,5%",Monastrell,NA,91 PN,90 SK
337,El Jardín de la Emperatriz Tinto, 2019,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,92 PN,92 SK
338,PradoRey Finca Valdelayegua, 2020,No se encontró el elemento price,"4,6",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,NA
339,Agnvs Tempranillo, 2021,No se encontró el elemento price,"4,5",Vino tinto,Rioja,"14,0%",Tempranillo,NA,NA,NA
340,Loess Inspiration, 2021,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,NA,92 PN,NA
341,El Pedal, 2021,No se encontró el elemento price,"3,7",Vino tinto,Rioja,"13,0%",Tempranillo,90 PK,91 PN,NA
342,Villa Conchi Brut Rosé,,No se encontró el elemento price,"3,6",Cava,DO Cava,"11,5%",Trepat,NA,NA,NA
343,Finca Martelo Reserva, 2019,"25,80 €","4,2",Vino tinto,Rioja,"14,5%",Tempranillo,95 PK,94 PN,93 SK
344,Mas Collet, 2021,No se encontró el elemento price,"4,3",Vino tinto,Montsant,"14,5%",Garnacha,NA,NA,91 SK
345,Santa Rosa, 2021,No se encontró el elemento price,"4,6",Vino tinto,Alicante,"14,5%",Cabernet sauvignon,92 PK,93 PN,NA
346,Pago de Carraovejas Cuesta de las Liebres, 2019,"164,95 €","5,0",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,94 PK,96 PN,NA
347,Anna de Codorníu Brut Nature,,No se encontró el elemento price,"4,2",Cava,DO Cava,"11,5%",Chardonnay,NA,NA,NA
348,Laus Reserva, 2018,No se encontró el elemento price,"5,0",Vino tinto,Somontano,"13,5%",Cabernet sauvignon,NA,NA,NA
349,Pittacum, 2019,"11,50 €","4,3",Vino tinto,Bierzo,"14,5%",Mencía,90 PK,92 PN,94 SK
350,Enrique Mendoza Finca Xaconero, 2021,No se encontró el elemento price,"3,0",Vino tinto,Alicante,"14,0%",Monastrell,92 PK,NA,NA
351,Le Naturel, 2022,No se encontró el elemento price,"4,4",Vino tinto,Navarra,"14,0%",Garnacha,NA,NA,92 SK
352,Ximénez-Spínola Exceptional Harvest, 2022,No se encontró el elemento price,"4,7",Vino blanco,Jerez-Manzanilla,"12,5%",Pedro ximénez,NA,NA,NA
353,Tolo do Xisto, 2019,No se encontró el elemento price,"3,0",Vino tinto,Ribeira Sacra,"13,0%",Mencía,90 PK,NA,NA
354,Eduardo Peña, 2022,No se encontró el elemento price,"4,8",Vino blanco,Ribeiro,"13,5%",Treixadura,NA,NA,NA
355,Torre La Moreira, 2022,No se encontró el elemento price,"4,9",Vino blanco,Rías Baixas,"11,5%",Albariño,NA,NA,NA
356,Gramona Vi de Glass Gewürztraminer," 2022 (0,37 L)",No se encontró el elemento price,"4,6",Vino de hielo,Penedès,"9,5%",Gewürztraminer,NA,93 PN,NA
357,PradoRey Finca La Mina Rva, 2018,No se encontró el elemento price,"4,5",Vino tinto,Ribera del Duero,"15,0%",Tempranillo,NA,NA,NA
358,Monte Toro 3 Añada Selección, 2022,No se encontró el elemento price,"4,3",Vino tinto,Toro,"14,5%",Tinta de Toro,NA,NA,NA
359,Marqués de Cáceres Crianza, 2019,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,NA
360,Descomunal Verdejo, 2022,No se encontró el elemento price,"4,1",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
361,Preludio de Sei Solo, 2021,"27,90 €","4,6",Vino tinto,Ribera del Duero,"14,5%",Tempranillo,91-93 PK,93 PN,NA
362,12 Lunas, 2020,No se encontró el elemento price,"4,3",Vino tinto,Somontano,"14,0%",Tempranillo,NA,NA,NA
363,Sela, 2021,"17,90 €","4,5",Vino tinto,Rioja,"14,0%",Tempranillo,91 PK,NA,92 SK
364,Altos de Losada, 2021,No se encontró el elemento price,"3,8",Vino tinto,Bierzo,"14,0%",Mencía,92 PK,NA,93 SK
365,Tesalia, 2019,"31,50 €","4,8",Vino tinto,Cádiz,"14,5%",Petit verdot,NA,NA,NA
366,Vivanco Reserva, 2017,No se encontró el elemento price,"4,4",Vino tinto,Rioja,"14,0%",Tempranillo,92 PK,90 PN,NA
367,César Márquez Valtuille Vino de Villa, 2020,No se encontró el elemento price,"0,0",Vino tinto,Bierzo,"13,0%",Mencía,94+ PK,NA,NA
368,AT Roca Brut Nature Reserva, 2021,No se encontró el elemento price,"0,0",Cava,DO Cava,"12,0%",Macabeo,NA,NA,NA
369,O Luar Do Sil Sobre Lías, 2022,No se encontró el elemento price,"4,0",Vino blanco,Valdeorras,"13,5%",Godello,NA,94 PN,NA
370,Nita, 2021,"13,50 €","4,6",Vino tinto,Priorat,"14,0%",Garnacha,90 PK,NA,NA
371,Menade Verdejo, 2022,No se encontró el elemento price,"4,2",Vino blanco,Rueda,"13,0%",Verdejo,NA,90 PN,NA
372,Celeste Crianza, 2020,"21,95 €","4,7",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,90 PN,92 SK
373,Artadi El Carretil, 2014,"185,00 €","4,8",Vino tinto,España,"14,5%",Tempranillo,95-97 PK,97 PN,99 SK
374,Can Sumoi Ancestral Montonega, 2022,No se encontró el elemento price,"4,5",Ancestral,España,"11,0%",Parellada,91 PK,NA,NA
375,Llopart Microcosmos Rosé Brut Nature, 2020,No se encontró el elemento price,"3,4",Cava,Corpinnat,"11,5%",Pinot noir,91 PK,NA,NA
376,Vilarnau Brut Nature Reserva,,"12,40 €","4,0",Cava,DO Cava,"11,5%",Macabeo,NA,NA,NA
377,Muriel Fincas De La Villa Reserva, 2018,No se encontró el elemento price,"4,3",Vino tinto,Rioja,"13,5%",Tempranillo,NA,NA,92 SK
378,Herència Altés L'Estel, 2018,No se encontró el elemento price,"0,0",Vino tinto,Terra Alta,"15,0%",Garnacha,90+ PK,NA,93 SK
379,Pesquera MXI, 2020,No se encontró el elemento price,"5,0",Vino tinto,Ribera del Duero,"14,0%",Tempranillo,NA,NA,92 SK
380,Privat Rosé Brut  Nature, 2021,No se encontró el elemento price,"0,0",Cava,DO Cava,"12,0%",Chardonnay,NA,91 PN,NA
381,Ànima Negra ÀN/2, 2021,No se encontró el elemento price,"4,6",Vino tinto,España,"13,0%",Callet,91+ PK,NA,NA
382,U Mes U Ardea Rosé Brut Reserva,,No se encontró el elemento price,"0,0",Cava,DO Cava,"11,5%",Pinot noir,NA,NA,NA
383,Clos Montblanc Chardonnay Únic, 2022,No se encontró el elemento price,"4,1",Vino blanco,Catalunya,"14,0%",Chardonnay,NA,NA,NA
384,Las Moradas de San Martín Senda, 2019,No se encontró el elemento price,"4,0",Vino tinto,Vinos de Madrid,"14,5%",Garnacha,90 PK,90 PN,NA
385,Palomo Cojo, 2022,"8,95 €","4,4",Vino blanco,Rueda,"13,0%",Verdejo,NA,NA,NA
386,Viña Salceda Crianza, 2019,No se encontró el elemento price,"3,8",Vino tinto,Rioja,"13,5%",Tempranillo,NA,92 PN,NA
387,Barco del Corneta Cucú, 2022,No se encontró el elemento price,"4,5",Vino blanco,Castilla y León,"13,0%",Verdejo,91 PK,NA,NA
388,PradoRey Blanco, 2021,No se encontró el elemento price,"4,7",Vino blanco,Castilla y León,"13,5%",Verdejo,NA,NA,NA
389,La Orquesta, 2019,No se encontró el elemento price,"4,3",Vino blanco,Castilla y León,"13,0%",Garnacha blanca,93 PK,NA,NA
390,Lafou El Sender, 2020,No se encontró el elemento price,"4,3",Vino tinto,Terra Alta,"14,5%",Garnacha,91 PK,91 PN,NA
391,Ses Nines Negre, 2021,No se encontró el elemento price,"4,4",Vino tinto,Mallorca,"13,5%",Mantonegro,NA,NA,NA
392,Arrayán Syrah, 2020,No se encontró el elemento price,"5,0",Vino tinto,Méntrida,"14,0%",Syrah,92 PK,NA,NA
393,Gran Colegiata Original, 2017,No se encontró el elemento price,"4,7",Vino tinto,Toro,"14,5%",Tinta de Toro,NA,93 PN,NA
394,Salanques, 2021,No se encontró el elemento price,"4,6",Vino tinto,Priorat,"15,0%",Garnacha,91 PK,NA,NA
395,Naiades, 2019,No se encontró el elemento price,"4,6",Vino blanco,Rueda,"13,0%",Verdejo,NA,93 PN,92 SK
396,Altos de Torona Godello, 2022,No se encontró el elemento price,"3,9",Vino blanco,Rías Baixas,"12,5%",Godello,NA,NA,NA
